ID,Common Name,Scientific Name,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop,Region
6994,White Sirus (Maharuk),Ailanthus triphysa,Deciduous Tree,100,30,24,Spring-Fall,Monoecious; both male and female trees are required for fruit set. Prefers well-drained soils. Seedlings are vulnerable to shade and weed competition. Moderately tolerant of degraded soil. ,White,Fibrous Deep,Winter - Late Winter,Spring,Coarse,Upright,Fast,Medium,Minor,Full_Sun,12-Sep,"Wet, Moderate",5.5 - 7.0,"Nurse, Soil Builder","Aromatics/Fragrance, Dye, Essential Oil, Medicine, Oil, Wax, Resin or Polish, Ornamental, Pollard, Wood",
3166,Borojo,Alibertia patinoi,Evergreen Shrub,16,0,0,All Year,"Dioecious. Needs a high-humidity environment. Intolerant of slopes. Best in fertile, well-draining soils. ",White,,,,Coarse,Upright,Fast,,,"Partial_Shade, Shade",11-Oct,"Wet, Moderate",5.0 - 7.0,,"Food, Medicine",
3144,Golden Trumpet Vine,Allamanda cathartica,Vine,20,6,0,Spring-Fall,"Best in rich, well-draining soils. Grown as an annual in cooler climates. Must be trained to grow as a vine - no tendrils/aerial roots. Can be grown as a shrub. Reproduced by seed, propagated with stem segments. ",Yellow,Fibrous Deep,Summer - Fall,,Coarse,Vine,Fast,Medium,Medium,Full_Sun,12-Oct,Moderate,5.1 - 6.5,Hedge,"Container Garden, Medicine, Ornamental",
2183,Garlic Chives,Allium tuberosum,Perennial,18,24,,Summer,"Stems are skinny and flat; blooms are 1"" wide; can be invasive in the garden.",Purple,Fibrous Shallow,Late Spring - Early Summer,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",10-Mar,"Moderate, Dry",6.0 - 6.8,"Aromatic Pest Confuser, Dynamic Accumulator, Insectory","Food, Insect Repellent, Medicine",
2848,Giant Elephant Ear,Alocasia macrorrhiza,Perennial,15,8,8,All Year,Best in organically rich soils and high humidity. Flowers intermittently throughout the year. Trunk becomes woody with age. ,"Green, White",Long Rhizome,,,Coarse,Upright,Fast,Minor,Minor,Partial_Shade,11-Sep,"Wet, Moderate",5.5 - 6.5,"Domestic Animal Forage, Insecticide, Toxin Absorber, Water Purifier","Container Garden, Food, Medicine, Ornamental",
3145,Aloe,Aloe vera,Perennial,24,12,3,All Year,Grow in well-draining soils. Bright light required for flowering. Stoloniferous. ,Yellow,Long Rhizome,Summer - ?,,Coarse,Rosette,Slow,Minor,Minor,"Full_Sun, Partial_Shade",12-Oct,Dry,6.0 - 7.5,"Air Cleaner, Windbreak","Container Garden, Food, Medicine, Ornamental, Soap",
3178,Lesser Galangal,Alpinia officinarum,Perennial,60,48,0,All Year,Best in organically rich and well-drained soils. Thrives in high humidity. ,"Red, White, Yellow",Rhizome,Spring - Fall,Spring - Fall,Coarse,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",12-Oct,"Wet, Moderate",4.5 - 5.5,,"Aromatics/Fragrance, Essential Oil, Food, Medicine",
3037,Sissoo Spinach,Alternanthera sissoo,Perennial,15,30,0,All Year,Does not set viable seed. Prefers organically rich and well-drained soil. Can be grown as a houseplant/annual in cooler climates. Spreads with root nodes.,White,,,,Coarse,Matlike,Fast,Medium,Minor,"Full_Sun, Partial_Shade, Shade",11-Oct,"Wet, Moderate",4.5 - 8.0,"Groundcover, Hedge, Mulch Maker",Food,
3148,Peruvian Ragweed,Ambrosia peruviana,Annual,60,60,0,,Monoecious. ,Yellow,,Early Spring - Summer,,Medium,Upright,Fast,,,Full_Sun,11-Sep,Moderate,5.7 - 7.9,Insectory,"Essential Oil, Medicine",
3149,Elephant Foot Yam,Amorphophallus paeoniifolius,Perennial,31,24,12,Spring-Fall,Monoecious. Best in organically rich and well-draining soils. 60-90 day dormancy period. ,"Green, Purple, Red, Yellow","Rhizome, Corm",Spring - ?,Summer - ?,Coarse,Irregular,Slow,Medium,Minor,Partial_Shade,11-Sep,"Wet, Moderate",5.5 - 6.2,"Domestic Animal Forage, Insectory","Food, Medicine, Ornamental",
2242,American Hogpeanut,Amphicarpaea bracteata,Vine,36,36,16,Summer,"Tubular, pink-white flowers in August-September",Pink,Tap,Late Summer - Early Fall,,Medium,Vine,Moderate,Minor,Minor,"Partial_Shade, Shade",10-Mar,Moderate,5.0 - 8.0,"Groundcover, Insectory, Nitrogen Fixer","Food, Medicine",
2844,Cashew,Anacardium occidentale,Evergreen Tree,40,40,236,,Requires deep soil. When growing in coastal sandy areas it has a significantly altered growth form. ,"Green, Pink, Red","Tap, Fibrous Deep",,,Coarse,Globe,Fast,Medium,Medium,Full_Sun,11-Oct,"Moderate, Dry",4.5 - 6.5,"Domestic Animal Forage, Erosion Control, Insecticide, Insectory, Reclamator","Biomass, Dye, Fiber, Food, Medicine, Oil, Wax, Resin or Polish, Wood",
3111,Stinking Bean Trefoil,Anagyris foetida,Deciduous Shrub,10,12,0,,"Aka purging trefoil, and stinking wood. Bean is POISONOUS. All parts of this plant are poisonous.  Stinking name refers to flower scent of cooked beans gone bad.","Green, Yellow",Tap,Fall - Winter,Spring,Coarse,Upright,Moderate,Minor,Minor,Full_Sun,10-Aug,"Moderate, Dry",7.2 - 8.5,Nitrogen Fixer,"Medicine, Medicine",
2845,Cherimoya,Annona cherimola,Deciduous Tree,30,30,0,Spring-Fall,"Young trees need partial shade. Flowering can be forced by pruning and encouraging new growth. Natural pollination can be unreliable, responds best to hand pollination. Pest/disease resistance varies significantly by location. Shallow roots.","Pink, Purple, Yellow","Fibrous Shallow, Tap",Spring - Late Summer,Fall - Winter,Coarse,Rounded,Fast,Medium,Medium,Full_Sun,10-Sep,"Wet, Moderate",6.5 - 7.6,"Insecticide, Insectory, Wildlife Food","Aromatics/Fragrance, Food, Ornamental",
2846,Soursop,Annona muricata,Evergreen Tree,20,12,0,All Year,"Best in rich, well-drained soil, but tolerates average to poor soil. Can bear almost continually throughout the year. Roots extend horizontally, often beyond the crown width. ","Green, Yellow",Fibrous Shallow,Spring - Summer,Summer - Fall,Coarse,Spreading,Moderate,Medium,Minor,"Full_Sun, Partial_Shade",11-Oct,Moderate,5.0 - 7.0,Insecticide,"Dye, Fiber, Food, Medicine, Ornamental",
3150,Custard-Apple,Annona reticulata,Deciduous Tree,35,30,0,,"Tolerates average soils, best in those with high fertility and good drainage. May be evergreen in some areas. Capable of flowering/fruiting throughout the year. Needs partial sun when young. Used as rootstock for other Annonas.","Green, Yellow",Fibrous Shallow,Spring - Summer,Fall - Winter,Coarse,Spreading,Fast,Medium,Minor,"Full_Sun, Partial_Shade",11-Oct,"Wet, Moderate",5.0 - 7.5,Insecticide,"Dye, Fiber, Food, Medicine, Ornamental, Wood",
2293,Large-Leaved Pussytoes,Antennaria plantaginifolia,Perennial,20,16,,Spring,"Soft, gray foliage is arguably the best ornamental feature of this native perennial. Useful as a small area ground cover in rock gardens, rocky slopes, open woodland areas, prairie areas or other lean, rocky areas in the landscape.",White,Rhizome,Spring - Early Summer,,Medium,Spreading,,Minor,Minor,"Full_Sun, Partial_Shade",10-Feb,"Moderate, Dry",,"Insectory, Wildlife Food",Medicine,
3151,Monkey Comb,Apeiba tibourbou,Evergreen Tree,42,32,0,,"Flowers most of the year. Semi-deciduous, will shed leaves during the dry season. Best in well-draining soil. ",Yellow,,,Winter - Summer,Coarse,Upright,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Oct,Moderate,0.0 - 0.0,Reclamator,"Fiber, Medicine, Ornamental, Soap, Wood",
3118,Peanut,Arachis hypogaea,Annual,23,27,15,,"There are runner and bunch types. Best in well-drained soils. Adventitious roots sometimes occur, root characteristics vary with soil. Self-pollinating. Require minimum amount of lime. Flowers 3-6 wks after planting.",Yellow,"Tap, Tuber",Spring - Summer,Summer - ?,Medium,Prostrate,Moderate,Major,Major,Full_Sun,10-Jul,Moderate,5.5 - 7.0,"Domestic Animal Forage, Mulch Maker, Nitrogen Fixer, Soil Builder","Biomass, Fiber, Food, Medicine",
2922,Perennial Peanut,Arachis Pintoi,Perennial,20,0,4,All Year,Can tolerate low soil fertility and a wide range of soil types. Blooms repeatedly. Grows well with a number of sward and tussock grasses. ,Yellow,"Stolon, Tap",,,Medium,Spreading,Fast,Minor,Minor,"Full_Sun, Partial_Shade, Shade",11-Sep,"Wet, Moderate",5.4 - 7.0,"Domestic Animal Forage, Erosion Control, Groundcover, Insectory, Mulch Maker, Nitrogen Fixer, Reclamator",Ornamental,
3226,Norfolk Island pine,Araucaria heterophylla,Evergreen Shrub,200,70,0,All Year,Best in well-draining soils. Week root system- may require staking. Can re-sprout after damage.  Roots may cause surface interference. Needles fall in too much shade. ,"Green, Yellow",Fibrous Shallow,Summer - ?,Summer - Fall,Medium,Pyramidal,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,Moderate,4.5 - 7.5,"Air Cleaner, Wildlife Food, Windbreak","Container Garden, Ornamental, Wood",
3152,Mexican Poppy,Argemone mexicana,Annual,60,20,0,Spring-Fall,Flowers and fruits throughout the year in some locations. Grows well in low-fertility soils. Seeds can be fire resistant. No mycorrhizal association. ,Yellow,Tap,Early Spring - Late Summer,Summer - Fall,Medium,Upright,Fast,Minor,Minor,Full_Sun,10-Aug,Dry,5.0 - 6.8,"Insecticide, Reclamator, Soil Builder, Toxin Absorber","Medicine, Oil, Wax, Resin or Polish, Ornamental, Soap",
3153,Giant Pelican Flower,Aristolochia gigantea,Vine,240,120,0,Summer-Fall,Best in well-draining soil. ,"Red, White",Rhizome,Summer - Late Winter,Fall - Winter,Coarse,Vine,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Oct,Moderate,6.1 - 7.8,Insectory,"Aromatics/Fragrance, Ornamental",
3154,Pipe Flower,Aristolochia leuconeura,Vine,15,2,0,Summer,,Brown,,Summer - ?,,Coarse,Vine,Fast,,,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate",0.0 - 0.0,Insectory,"Aromatics/Fragrance, Ornamental",
2851,Jackfruit,Artocarpus heterophyllus,Evergreen Tree,70,50,0,All Year,"Best in rich, well-drained soils. Ripe unopened fruits have an adverse smell. Monoecious. Bloom/fruit time varies by location, sometimes throughout the year. Generally benefit from cross-pollination. ","Green, Yellow","Tap, Fibrous Deep",Spring - Fall,Spring - Fall,Coarse,Irregular,Fast,Major,Major,Full_Sun,12-Oct,Moderate,5.5 - 7.5,"Domestic Animal Forage, Erosion Control, Insectory","Dye, Fiber, Food, Medicine, Oil, Wax, Resin or Polish, Ornamental, Wood",
3156,Tropical Milkweed,Asclepias curassavica,Perennial,36,24,0,Spring-Fall,"Also known as blood flower. Grown as an annual in cooler climates. Best in light, rich, well-draining soils. Will re-sprout after freezing in zone 8. Seeds are wind-dispersed. ","Orange, Red, Yellow",Tap,Spring - Fall,,Medium,Clump,Fast,Medium,Minor,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate, Dry",5.7 - 6.5,Insectory,"Cut Flower, Dried Flower, Medicine, Ornamental",
2852,Bird's Nest Fern,Asplenium nidus,Fern,48,48,0,All Year,,,Fibrous Shallow,,,Coarse,Upright,Slow,Minor,Minor,"Partial_Shade, Shade",11-Sep,Wet,5.0 - 7.0,Wildlife Habitat,"Medicine, Ornamental",
2009,Dwarf Alpine Aster,Aster alpinus,Perennial,10,8,15,Summer,"White flower; green foliage; blue, pink, rose or purple flowers",,Fibrous Deep,,,,Upright,Slow,Minor,Minor,Full_Sun,10-Mar,"Moderate, Dry",6.0 - 7.5,"Erosion Control, Insectory, Soil Builder",,
2090,Groundplum Milkvetch,Astragalus crassicarpus,Perennial,6,6,,Summer,Purple or white flower; fern-like foliage,Purple,,Late Spring - Early Summer,,Medium,Upright,,,,Full_Sun,10-Mar,"Moderate, Dry",5.5 - 8.5,"Insectory, Nitrogen Fixer",Food,
3089,Chinese Milkvetch,Astragalus sinicus,Biennial,8,0,12,,"winter cover crop / forage on rice fields.Aka milchwicke, genge, renge-so, jaunyeong.","Pink, Purple",Tap,Early Spring - Early Summer,Summer - Fall,Medium,Prostrate,Moderate,Minor,Minor,Full_Sun,10-Jun,Moderate,0.0 - 0.0,"Domestic Animal Forage, Groundcover, Nitrogen Fixer, Soil Builder","Food, Medicine",
4683,Fourwing Saltbush ,Atriplex canescens,Evergreen Shrub,10,5,20,All Year,,Yellow,"Fibrous Deep, Tap",Late Spring - Spring,Summer - Fall,Medium,Rounded,Slow,Minor,Minor,Full_Sun,10-Jun,"Moderate, Dry",6.5 - 9.5,"Domestic Animal Forage, Erosion Control, Hedge, Reclamator, Wildlife Food, Wildlife Habitat","Dye, Food, Medicine, Ornamental, Soap",
1944,Oats,Avena sativa,Grass,36,0,8,," Annual cover crop. Late season, use like winter wheat.",Green,Fibrous Shallow,,,,Clump,Fast,Minor,Minor,Full_Sun,10-Mar,Moderate,5.3 - 8.5,"Erosion Control, Groundcover, Insecticide, Nitrogen Scavenger, Nurse, Reclamator, Soil Cultivator","Dried Flower, Fiber, Food, Medicine",
2853,Starfruit,Averrhoa carambola,Deciduous Tree,30,30,0,All Year,"Grows most rapidly in rich, well-drained loam soil. Flowers throughout the year. Seeds are highly variable. Cross-pollination leads to increased yields. Insect pollinated.","Lavender, Rose","Tap, Fibrous Shallow",,,Coarse,Rounded,Moderate,Minor,Minor,Full_Sun,12-Oct,Moderate,5.5 - 7.0,,"Biomass, Cleanser/Scourer, Container Garden, Dye, Food, Medicine, Ornamental, Wood",
3041,Neem,Azadirachta indica,Evergreen Tree,75,75,0,All Year,Needs deep soil. Has extensive lateral roots and root suckers. Grows rapidly even under poor conditions. May shed leaves during an extended dry season. Blooming/fruiting varies significantly by region. ,White,"Fibrous Deep, Tap",Spring - ?,,Medium,Oval,Fast,Minor,Minor,"Full_Sun, Partial_Shade",12-Oct,"Moderate, Dry",5.5 - 7.0,"Domestic Animal Forage, Erosion Control, Insecticide, Mulch Maker, Reclamator, Soil Builder, Windbreak","Biomass, Coppice, Dye, Food, Medicine, Oil, Wax, Resin or Polish, Ornamental, Pollard, Wood",
3114,Pacific Mosquitofern,Azolla filiculoides,Aquatic,3,36,0,,Floating fern mat forms spores not seeds and spreads mainly vegetatively. Does not flower.,,Fibrous Shallow,,Spring - Fall,Medium,Matlike,Fast,Medium,Minor,"Full_Sun, Partial_Shade",13-May,Wet,3.5 - 4.0,"Domestic Animal Forage, Insecticide, Nitrogen Fixer, Reclamator, Reclamator, Water Purifier, Wildlife Food","Biomass, Compost, Food, Insect Repellent",
2953,Beechey Bamboo,Bambusa beecheyana,Grass,50,40,12,All Year,"Loose-clumping bamboo. Particularly fast growing. Short internodes. Some may have potex virus. Can grow in a variety of soils, best in those with good drainage. New shoots in summer and fall.  ",,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate",5.5 - 7.0,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat","Fiber, Food, Ornamental, Wood",
2954,Tropical Blue Bamboo,Bambusa chungii,Grass,35,20,10,All Year,"Clumping bamboo. New shoots in late summer or fall. Roots extend horizontally. Can tolerate a range of soils, best in those that are well-drained. Flowers in many-year intervals. ",,"Fibrous Shallow, Short Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate",5.5 - 7.5,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat","Fiber, Ornamental",
2955,Barbie Bamboo,Bambusa chungii 'Barbelatta',Grass,30,10,12,All Year,"Clumping bamboo. Can grow in a variety of soils, best in those with good drainage. Roots extend horizontally. This species is quick to form new shoots. ",,"Fibrous Shallow, Short Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate",5.5 - 7.0,"Air Cleaner, Erosion Control, Hedge, Mulch Maker, Soil Builder","Compost, Fiber, Ornamental, Wood",
2957,Viridiflavus Bamboo,Bambusa emeiensis 'Viridiflavus',Grass,35,30,10,All Year,"Clumping bamboo. Roots extend horizontally. Can tolerate a range in soils, but does best in those with good drainage. New shoots in late summer or fall. ",,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate",6.1 - 7.5,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat","Fiber, Ornamental, Wood",
2958,Tropical Bamboo,Bambusa intermedia,Grass,40,20,10,All Year,"Clumping bamboo. Roots extend horizontally. Tolerates a variety of soil types, best in those that are well-drained. New shoots in late summer or fall. ",,"Fibrous Shallow, Short Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Aug,"Wet, Moderate",5.5 - 7.0,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat","Fiber, Food, Ornamental, Wood",
2959,Timor Black Bamboo,Bambusa lako,Grass,70,35,10,All Year,"Clumping bamboo. New shoots in late summer or fall. Roots extend horizontally. Tolerates a variety of soils, best in those with good drainage. ",,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate",5.6 - 7.5,"Erosion Control, Mulch Maker, Soil Builder, Wildlife Habitat, Windbreak","Ornamental, Wood",
2952,Hedge Bamboo,Bambusa multiplex,Grass,25,13,12,All Year,"Clumping bamboo. Roots extend horizontally. Can grow on a variety of soil types, best those that are well-drained. New shoots in late summer to fall. Hardiest of the Bambusa genus.",,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",10-Jul,"Wet, Moderate",5.5 - 7.0,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat, Windbreak","Fiber, Food, Ornamental",
2961,Giant Timber Bamboo,Bambusa oldhamii,Grass,65,33,12,All Year,Clumping bamboo. New shoots in late summer or fall. Flowers in many year intervals. Roots spread horizontally. Best in nutrient rich soils with good drainage. ,,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Aug,"Wet, Moderate",6.1 - 7.8,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat, Windbreak","Fiber, Food, Ornamental, Wood",
2962,Weaver's Bamboo,Bambusa textilis,Grass,40,30,10,All Year,"Clumping bamboo. Roots extend horizontally. New shoots in summer. Can tolerate a range in soils, best in those with good drainage. Root hardy to 0´_F. Blooms in many-year intervals. ",,"Fibrous Shallow, Rhizome",,,Fine,Arching,Fast,Minor,Minor,Full_Sun,11-Aug,"Wet, Moderate",5.5 - 7.0,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat, Windbreak","Fiber, Medicine, Ornamental, Wood",
2963,Albostriata Bamboo,Bambusa textilis 'Albostriata',Grass,40,20,0,Spring-Summer,,Lavender,"Rhizome, Corm",,,,Clump,Slow,,,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate",0.0 - 0.0,"Air Cleaner, Erosion Control, Mulch Maker, Soil Builder","Biomass, Food, Wood",
2964,Graceful Bamboo,Bambusa textilis 'Gracilis',Grass,30,15,12,All Year,"Clumping bamboo. New shoots in late summer to fall. Can grow in a variety of soils, best in those that are well-drained. Roots extend horizontally. ",,"Fibrous Shallow, Rhizome",,,Fine,Arching,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Aug,"Wet, Moderate",5.5 - 7.0,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat","Fiber, Ornamental, Wood",
2970,Indian Timber Bamboo,Bambusa tulda,,70,35,0,All Year,Clumping bamboo. New shoots in late summer or fall. Best in well-drained soil. Flowers every 30-60 years. Roots extend horizontally. ,,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,Full_Sun,11-Sep,"Wet, Moderate",5.5 - 7.0,"Erosion Control, Mulch Maker, Soil Builder, Wildlife Food, Wildlife Habitat","Fiber, Ornamental, Wood",
2965,Punting Pole Bamboo,Bambusa tuldoides,Grass,55,25,10,All Year,"Clumping bamboo. Roots extend horizontally. Can grow in a variety of soils, best in those that are well-drained. New shoots in late summer or fall. Approximate 23-year flowering cycle.",,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate",5.5 - 7.0,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat, Windbreak","Fiber, Medicine, Ornamental, Wood",
2966,Buddha's Belly Bamboo,Bambusa tuldoides 'Ventricosa',Grass,55,0,12,All Year,Clumping bamboo. Tolerates a range of soils. Roots extend horizontally. ,,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,Partial_Shade,10-Sep,Moderate,5.5 - 7.0,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat","Container Garden, Ornamental, Wood",
2969,"Common, Bamboo",Bambusa vulgaris,Grass,60,30,12,All Year,Clumping bamboo. Easily propagated. Flowers in many year intervals. Thrives under a range of soil conditions. Can survive defoliated in areas with a severe dry season. ,,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,Partial_Shade,11-Sep,Moderate,5.5 - 7.0,"Domestic Animal Forage, Erosion Control, Mulch Maker, Soil Builder, Wildlife Habitat, Windbreak","Fiber, Food, Medicine, Ornamental, Wood",
