Species,Common Names,Ranking,Plant Type,Plant Url
Festuca minutiflora,Smallflower Fescue,,Grasses,http://calscape.org/Festuca-minutiflora-(Smallflower-Fescue)
Festuca occidentalis,Western Fescue,,Grasses,http://calscape.org/Festuca-occidentalis-(Western-Fescue)
Festuca octoflora,Six Weeks Fescue,,Grasses,http://calscape.org/Festuca-octoflora-(Six-Weeks-Fescue)
Festuca rubra,Red Fescue,,Grasses,http://calscape.org/Festuca-rubra-(Red-Fescue)
Festuca saximontana,Rocky Mountain Fescue,,Grasses,http://calscape.org/Festuca-saximontana-(Rocky-Mountain-Fescue)
Festuca subulata,Bearded Fescue,,Grasses,http://calscape.org/Festuca-subulata-(Bearded-Fescue)
Festuca subuliflora,Crinkle-awn Fescue,,Grasses,http://calscape.org/Festuca-subuliflora-(Crinkle-awn-Fescue)
Festuca viridula,"Mountain Bunch Grass, Green Fescue",,Grasses,"http://calscape.org/Festuca-viridula-(Mountain-Bunch-Grass,-Green-Fescue)"
Fimbristylis thermalis,Hot Springs Fimbristylis,,Grasses,http://calscape.org/Fimbristylis-thermalis-(Hot-Springs-Fimbristylis)
Fimbristylis vahlii,,,Grasses,http://calscape.org/Fimbristylis-vahlii-()
Floerkea proserpinacoides,,,Annual herb,http://calscape.org/Floerkea-proserpinacoides-()
Forestiera pubescens,Desert Olive,,Shrub,http://calscape.org/Forestiera-pubescens-(Desert-Olive)
Fouquieria splendens,Ocotillo,,"Shrub,Succulent",http://calscape.org/Fouquieria-splendens-(Ocotillo)
Fouquieria splendens ssp. splendens,Ocotillo,,"Shrub,Succulent",http://calscape.org/Fouquieria-splendens-ssp.-splendens-(Ocotillo)
Fragaria chiloensis,Beach Strawberry,,Perennial herb,http://calscape.org/Fragaria-chiloensis-(Beach-Strawberry)
Fragaria vesca,Woodland Strawberry,,Perennial herb,http://calscape.org/Fragaria-vesca-(Woodland-Strawberry)
Fragaria virginiana,Mountain Strawberry,,Perennial herb,http://calscape.org/Fragaria-virginiana-(Mountain-Strawberry)
Frangula californica,Coffee Berry,,Shrub,http://calscape.org/Frangula-californica-(Coffee-Berry)
Frangula californica ssp. californica,California Coffeeberry,,Shrub,http://calscape.org/Frangula-californica-ssp.-californica-(California-Coffeeberry)
Frangula californica ssp. cuspidata,,,Shrub,http://calscape.org/Frangula-californica-ssp.-cuspidata-()
Frangula californica ssp. occidentalis,Western California Coffeeberry,,Shrub,http://calscape.org/Frangula-californica-ssp.-occidentalis-(Western-California-Coffeeberry)
Frangula californica ssp. tomentella,Hoary Coffeeberry,,Shrub,http://calscape.org/Frangula-californica-ssp.-tomentella-(Hoary-Coffeeberry)
Frangula purshiana,Cascara Sagrada,,Shrub,http://calscape.org/Frangula-purshiana-(Cascara-Sagrada)
Frangula purshiana ssp. purshiana,,,Shrub,http://calscape.org/Frangula-purshiana-ssp.-purshiana-()
Frangula purshiana ssp. ultramafica,Caribou Coffee Berry,,Shrub,http://calscape.org/Frangula-purshiana-ssp.-ultramafica-(Caribou-Coffee-Berry)
Frangula rubra,Sierra Coffeeberry,,Shrub,http://calscape.org/Frangula-rubra-(Sierra-Coffeeberry)
Frangula rubra ssp. modocensis,,,Shrub,http://calscape.org/Frangula-rubra-ssp.-modocensis-()
Frangula rubra ssp. rubra,Red Buckthorn,,Shrub,http://calscape.org/Frangula-rubra-ssp.-rubra-(Red-Buckthorn)
Frankenia palmeri,Palmer's Seaheath,,Perennial herb,http://calscape.org/Frankenia-palmeri-(Palmer's-Seaheath)
Frankenia salina,Alkali Heath,,Perennial herb,http://calscape.org/Frankenia-salina-(Alkali-Heath)
Frasera albicaulis,,,Perennial herb,http://calscape.org/Frasera-albicaulis-()
Frasera albicaulis var. nitida,,,Perennial herb,http://calscape.org/Frasera-albicaulis-var.-nitida-()
Frasera albomarginata,,,Perennial herb,http://calscape.org/Frasera-albomarginata-()
Frasera albomarginata var. albomarginata,Desert Green-gentian,,Perennial herb,http://calscape.org/Frasera-albomarginata-var.-albomarginata-(Desert-Green-gentian)
Frasera neglecta,Pine Green-gentian,,Perennial herb,http://calscape.org/Frasera-neglecta-(Pine-Green-gentian)
Frasera parryi,Parry's Green Gentian,,Perennial herb,http://calscape.org/Frasera-parryi-(Parry's-Green-Gentian)
Frasera puberulenta,,,Perennial herb,http://calscape.org/Frasera-puberulenta-()
Frasera speciosa,Monument Plant,,Perennial herb,http://calscape.org/Frasera-speciosa-(Monument-Plant)
Frasera tubulosa,,,Perennial herb,http://calscape.org/Frasera-tubulosa-()
Frasera umpquaensis,Umpqua Green-gentian,,Perennial herb,http://calscape.org/Frasera-umpquaensis-(Umpqua-Green-gentian)
Fraxinus anomala,Dwarf Ash,,Tree,http://calscape.org/Fraxinus-anomala-(Dwarf-Ash)
Fraxinus dipetala,California Ash,,Tree,http://calscape.org/Fraxinus-dipetala-(California-Ash)
Fraxinus latifolia,Oregon Ash,,Tree,http://calscape.org/Fraxinus-latifolia-(Oregon-Ash)
Fraxinus parryi,Chaparral Ash,,Shrub,http://calscape.org/Fraxinus-parryi-(Chaparral-Ash)
Fraxinus velutina,Velvet Ash,,Tree,http://calscape.org/Fraxinus-velutina-(Velvet-Ash)
Fremontodendron californicum,Flannel Bush,,Shrub,http://calscape.org/Fremontodendron-californicum-(Flannel-Bush)
Fremontodendron decumbens,Pine Hill Flannelbush,,Shrub,http://calscape.org/Fremontodendron-decumbens-(Pine-Hill-Flannelbush)
Fremontodendron mexicanum,Mexican Flannelbush,,Shrub,http://calscape.org/Fremontodendron-mexicanum-(Mexican-Flannelbush)
Fritillaria affinis,Checker Lily,,Perennial herb,http://calscape.org/Fritillaria-affinis-(Checker-Lily)
Fritillaria agrestis,Stinkbells,,Perennial herb,http://calscape.org/Fritillaria-agrestis-(Stinkbells)
Fritillaria atropurpurea,Spotted Fritillary,,Perennial herb,http://calscape.org/Fritillaria-atropurpurea-(Spotted-Fritillary)
Fritillaria biflora,Chocolate Lily,,Perennial herb,http://calscape.org/Fritillaria-biflora-(Chocolate-Lily)
Fritillaria biflora var. biflora,Chocolate Lily,,Perennial herb,http://calscape.org/Fritillaria-biflora-var.-biflora-(Chocolate-Lily)
Fritillaria biflora var. ineziana,Hillsborough Chocolate Lily,,Perennial herb,http://calscape.org/Fritillaria-biflora-var.-ineziana-(Hillsborough-Chocolate-Lily)
Fritillaria brandegeei,Greenhorn Fritillary,,Perennial herb,http://calscape.org/Fritillaria-brandegeei-(Greenhorn-Fritillary)
Fritillaria eastwoodiae,Butte County Fritillary,,Perennial herb,http://calscape.org/Fritillaria-eastwoodiae-(Butte-County-Fritillary)
Fritillaria falcata,Talus Fritillary,,Perennial herb,http://calscape.org/Fritillaria-falcata-(Talus-Fritillary)
Fritillaria gentneri,Gentner's Fritillary,,Perennial herb,http://calscape.org/Fritillaria-gentneri-(Gentner's-Fritillary)
Fritillaria glauca,Siskiyou Missionbells,,Perennial herb,http://calscape.org/Fritillaria-glauca-(Siskiyou-Missionbells)
Fritillaria liliacea,Fragrant Fritillary,,Perennial herb,http://calscape.org/Fritillaria-liliacea-(Fragrant-Fritillary)
Fritillaria micrantha,Brown Bells,,Perennial herb,http://calscape.org/Fritillaria-micrantha-(Brown-Bells)
Fritillaria ojaiensis,Ojai Fritillary,,Perennial herb,http://calscape.org/Fritillaria-ojaiensis-(Ojai-Fritillary)
Fritillaria pinetorum,Pinewoods Fritillary,,Perennial herb,http://calscape.org/Fritillaria-pinetorum-(Pinewoods-Fritillary)
Fritillaria pluriflora,Adobe Lily,,Perennial herb,http://calscape.org/Fritillaria-pluriflora-(Adobe-Lily)
Fritillaria pudica,Gold Bell,,Perennial herb,http://calscape.org/Fritillaria-pudica-(Gold-Bell)
Fritillaria purdyi,Purdy's Fritillary,,Perennial herb,http://calscape.org/Fritillaria-purdyi-(Purdy's-Fritillary)
Fritillaria recurva,Scarlet Fritillary,,Perennial herb,http://calscape.org/Fritillaria-recurva-(Scarlet-Fritillary)
Fritillaria striata,Striped Adobe-lily,,Perennial herb,http://calscape.org/Fritillaria-striata-(Striped-Adobe-lily)
Fritillaria viridea,San Benito Fritillary,,Perennial herb,http://calscape.org/Fritillaria-viridea-(San-Benito-Fritillary)
Funastrum crispum,Wavyleaf Twinevine,,Perennial herb,http://calscape.org/Funastrum-crispum-(Wavyleaf-Twinevine)
Funastrum cynanchoides,Fringed Twinevine,,Perennial herb,http://calscape.org/Funastrum-cynanchoides-(Fringed-Twinevine)
Funastrum cynanchoides var. hartwegii,Climbing Milkweed,,Perennial herb,http://calscape.org/Funastrum-cynanchoides-var.-hartwegii-(Climbing-Milkweed)
Funastrum hirtellum,Trailing Townula,,"Vine,Perennial herb",http://calscape.org/Funastrum-hirtellum-(Trailing-Townula)
Funastrum utahense,Utah Vine Milkweed,,Perennial herb,http://calscape.org/Funastrum-utahense-(Utah-Vine-Milkweed)
Galium ambiguum,,,Perennial herb,http://calscape.org/Galium-ambiguum-()
Galium ambiguum ssp. ambiguum,,,Perennial herb,http://calscape.org/Galium-ambiguum-ssp.-ambiguum-()
Galium ambiguum ssp. siskiyouense,,,Perennial herb,http://calscape.org/Galium-ambiguum-ssp.-siskiyouense-()
Galium andrewsii,Phlox Leaved Bedstraw,,Perennial herb,http://calscape.org/Galium-andrewsii-(Phlox-Leaved-Bedstraw)
Galium andrewsii ssp. andrewsii,,,Perennial herb,http://calscape.org/Galium-andrewsii-ssp.-andrewsii-()
Galium andrewsii ssp. gatense,Serpentine Bedstraw,,Perennial herb,http://calscape.org/Galium-andrewsii-ssp.-gatense-(Serpentine-Bedstraw)
Galium angustifolium,Narrow Leaved Bedstraw,,Perennial herb,http://calscape.org/Galium-angustifolium-(Narrow-Leaved-Bedstraw)
Galium angustifolium ssp. angustifolium,,,Perennial herb,http://calscape.org/Galium-angustifolium-ssp.-angustifolium-()
Galium angustifolium ssp. borregoense,Borrego Bedstraw,,Perennial herb,http://calscape.org/Galium-angustifolium-ssp.-borregoense-(Borrego-Bedstraw)
Galium angustifolium ssp. foliosum,,,Perennial herb,http://calscape.org/Galium-angustifolium-ssp.-foliosum-()
Galium angustifolium ssp. gabrielense,San Antonio Canyon Bedstraw,,Perennial herb,http://calscape.org/Galium-angustifolium-ssp.-gabrielense-(San-Antonio-Canyon-Bedstraw)
Galium angustifolium ssp. gracillimum,Slender Bedstraw,,Perennial herb,http://calscape.org/Galium-angustifolium-ssp.-gracillimum-(Slender-Bedstraw)
Galium angustifolium ssp. jacinticum,San Jacinto Mountains Bedstraw,,Perennial herb,http://calscape.org/Galium-angustifolium-ssp.-jacinticum-(San-Jacinto-Mountains-Bedstraw)
Galium angustifolium ssp. nudicaule,,,Perennial herb,http://calscape.org/Galium-angustifolium-ssp.-nudicaule-()
Galium angustifolium ssp. onycense,Onyx Peak Bedstraw,,Perennial herb,http://calscape.org/Galium-angustifolium-ssp.-onycense-(Onyx-Peak-Bedstraw)
Galium aparine,,,Annual herb,http://calscape.org/Galium-aparine-()
Galium bifolium,Low Mountain Bedstraw,,Annual herb,http://calscape.org/Galium-bifolium-(Low-Mountain-Bedstraw)
Galium bolanderi,Bolander's Bedstraw,,Perennial herb,http://calscape.org/Galium-bolanderi-(Bolander's-Bedstraw)
Galium boreale,Northern Bedstraw,,Perennial herb,http://calscape.org/Galium-boreale-(Northern-Bedstraw)
Galium californicum,,,Perennial herb,http://calscape.org/Galium-californicum-()
Galium californicum ssp. californicum,,,Perennial herb,http://calscape.org/Galium-californicum-ssp.-californicum-()
Galium californicum ssp. flaccidum,,,Perennial herb,http://calscape.org/Galium-californicum-ssp.-flaccidum-()
Galium californicum ssp. luciense,Cone Peak Bedstraw,,Perennial herb,http://calscape.org/Galium-californicum-ssp.-luciense-(Cone-Peak-Bedstraw)
Galium californicum ssp. maritimum,,,Perennial herb,http://calscape.org/Galium-californicum-ssp.-maritimum-()
Galium californicum ssp. miguelense,San Miguel Island Bedstraw,,Perennial herb,http://calscape.org/Galium-californicum-ssp.-miguelense-(San-Miguel-Island-Bedstraw)
Galium californicum ssp. primum,Alvin Meadow Bedstraw,,Perennial herb,http://calscape.org/Galium-californicum-ssp.-primum-(Alvin-Meadow-Bedstraw)
Galium californicum ssp. sierrae,El Dorado Bedstraw,,Perennial herb,http://calscape.org/Galium-californicum-ssp.-sierrae-(El-Dorado-Bedstraw)
Galium catalinense,,,Perennial herb,http://calscape.org/Galium-catalinense-()
Galium catalinense ssp. acrispum,San Clemente Island Bedstraw,,Perennial herb,http://calscape.org/Galium-catalinense-ssp.-acrispum-(San-Clemente-Island-Bedstraw)
Galium catalinense ssp. catalinense,Santa Catalina Island Bedstraw,,Perennial herb,http://calscape.org/Galium-catalinense-ssp.-catalinense-(Santa-Catalina-Island-Bedstraw)
Galium clementis,Santa Lucia Bedstraw,,Perennial herb,http://calscape.org/Galium-clementis-(Santa-Lucia-Bedstraw)
Galium cliftonsmithii,Santa Barbara Bedstraw,,Perennial herb,http://calscape.org/Galium-cliftonsmithii-(Santa-Barbara-Bedstraw)
Galium glabrescens,,,Perennial herb,http://calscape.org/Galium-glabrescens-()
Galium glabrescens ssp. glabrescens,,,Perennial herb,http://calscape.org/Galium-glabrescens-ssp.-glabrescens-()
Galium glabrescens ssp. modocense,Modoc Bedstraw,,Perennial herb,http://calscape.org/Galium-glabrescens-ssp.-modocense-(Modoc-Bedstraw)
Galium grande,San Gabriel Bedstraw,,Perennial herb,http://calscape.org/Galium-grande-(San-Gabriel-Bedstraw)
Galium grayanum,,,Perennial herb,http://calscape.org/Galium-grayanum-()
Galium grayanum var. grayanum,,,Perennial herb,http://calscape.org/Galium-grayanum-var.-grayanum-()
Galium hallii,Nodding Bedstraw,,Perennial herb,http://calscape.org/Galium-hallii-(Nodding-Bedstraw)
Galium hardhamiae,Hardham's Bedstraw,,Perennial herb,http://calscape.org/Galium-hardhamiae-(Hardham's-Bedstraw)
Galium hilendiae,,,Perennial herb,http://calscape.org/Galium-hilendiae-()
Galium hilendiae ssp. carneum,Panamint Mountains Bedstraw,,Perennial herb,http://calscape.org/Galium-hilendiae-ssp.-carneum-(Panamint-Mountains-Bedstraw)
Galium hilendiae ssp. kingstonense,Kingston Mountains Bedstraw,,Perennial herb,http://calscape.org/Galium-hilendiae-ssp.-kingstonense-(Kingston-Mountains-Bedstraw)
Galium hypotrichium,,,Perennial herb,http://calscape.org/Galium-hypotrichium-()
Galium hypotrichium ssp. hypotrichium,,,Perennial herb,http://calscape.org/Galium-hypotrichium-ssp.-hypotrichium-()
Galium hypotrichium ssp. inyoense,,,Perennial herb,http://calscape.org/Galium-hypotrichium-ssp.-inyoense-()
Galium hypotrichium ssp. tomentellum,Telescope Peak Bedstraw,,Perennial herb,http://calscape.org/Galium-hypotrichium-ssp.-tomentellum-(Telescope-Peak-Bedstraw)
Galium jepsonii,Jepson's Bedstraw,,Perennial herb,http://calscape.org/Galium-jepsonii-(Jepson's-Bedstraw)
Galium johnstonii,Johnston's Bedstraw,,Perennial herb,http://calscape.org/Galium-johnstonii-(Johnston's-Bedstraw)
Galium matthewsii,Matthews' Bedstraw,,Perennial herb,http://calscape.org/Galium-matthewsii-(Matthews'-Bedstraw)
Galium mexicanum,,,Perennial herb,http://calscape.org/Galium-mexicanum-()
Galium mexicanum ssp. asperulum,,,Perennial herb,http://calscape.org/Galium-mexicanum-ssp.-asperulum-()
Galium multiflorum,Kellogg's Bedstraw,,Perennial herb,http://calscape.org/Galium-multiflorum-(Kellogg's-Bedstraw)
Galium nuttallii,Climbing Bedstraw,,Perennial herb,http://calscape.org/Galium-nuttallii-(Climbing-Bedstraw)
Galium nuttallii ssp. insulare,Nuttall's Island Bedstraw,,Perennial herb,http://calscape.org/Galium-nuttallii-ssp.-insulare-(Nuttall's-Island-Bedstraw)
Galium oreganum,Oregon Bedstraw,,Perennial herb,http://calscape.org/Galium-oreganum-(Oregon-Bedstraw)
Galium parishii,Parish's Bedstraw,,Perennial herb,http://calscape.org/Galium-parishii-(Parish's-Bedstraw)
Galium porrigens,Nuttall's Bedstraw,,"Perennial herb,Vine",http://calscape.org/Galium-porrigens-(Nuttall's-Bedstraw)
Galium porrigens var. porrigens,,,"Perennial herb,Vine",http://calscape.org/Galium-porrigens-var.-porrigens-()
Galium porrigens var. tenue,,,"Perennial herb,Vine",http://calscape.org/Galium-porrigens-var.-tenue-()
Galium proliferum,Desert Bedstraw,,Annual herb,http://calscape.org/Galium-proliferum-(Desert-Bedstraw)
Galium serpenticum,,,Perennial herb,http://calscape.org/Galium-serpenticum-()
Galium serpenticum ssp. scotticum,Scott Mountain Bedstraw,,Perennial herb,http://calscape.org/Galium-serpenticum-ssp.-scotticum-(Scott-Mountain-Bedstraw)
Galium sparsiflorum,,,Perennial herb,http://calscape.org/Galium-sparsiflorum-()
Galium sparsiflorum ssp. sparsiflorum,,,Perennial herb,http://calscape.org/Galium-sparsiflorum-ssp.-sparsiflorum-()
Galium stellatum,,,Perennial herb,http://calscape.org/Galium-stellatum-()
Galium trifidum,Threepetal Bedstraw,,Perennial herb,http://calscape.org/Galium-trifidum-(Threepetal-Bedstraw)
Galium trifidum ssp. columbianum,,,Perennial herb,http://calscape.org/Galium-trifidum-ssp.-columbianum-()
Galium trifidum ssp. subbiflorum,,,Perennial herb,http://calscape.org/Galium-trifidum-ssp.-subbiflorum-()
Galium triflorum,Bedstraw,,Annual herb,http://calscape.org/Galium-triflorum-(Bedstraw)
Gambelia speciosa,Island Snapdragon,,Shrub,http://calscape.org/Gambelia-speciosa-(Island-Snapdragon)
Gamochaeta ustulata,,,Perennial herb,http://calscape.org/Gamochaeta-ustulata-()
Garrya buxifolia,Boxleaf Silk Tassel,,Shrub,http://calscape.org/Garrya-buxifolia-(Boxleaf-Silk-Tassel)
Garrya congdonii,Interior Silktassel,,Shrub,http://calscape.org/Garrya-congdonii-(Interior-Silktassel)
Garrya elliptica,Wavyleaf Silktassel,,Shrub,http://calscape.org/Garrya-elliptica-(Wavyleaf-Silktassel)
Garrya flavescens,Ashy Silktassel,,Shrub,http://calscape.org/Garrya-flavescens-(Ashy-Silktassel)
Garrya fremontii,Bearbrush,,Shrub,http://calscape.org/Garrya-fremontii-(Bearbrush)
Garrya veatchii,Canyon Silktassel,,Shrub,http://calscape.org/Garrya-veatchii-(Canyon-Silktassel)
Gaultheria humifusa,Alpine Wintergreen,,Shrub,http://calscape.org/Gaultheria-humifusa-(Alpine-Wintergreen)
Gaultheria ovatifolia,Oregon Spicy Wintergreen,,Shrub,http://calscape.org/Gaultheria-ovatifolia-(Oregon-Spicy-Wintergreen)
Gaultheria shallon,Salal,,Shrub,http://calscape.org/Gaultheria-shallon-(Salal)
Gayophytum diffusum,,,Annual herb,http://calscape.org/Gayophytum-diffusum-()
Gayophytum diffusum ssp. diffusum,,,Annual herb,http://calscape.org/Gayophytum-diffusum-ssp.-diffusum-()
Gayophytum diffusum ssp. parviflorum,,,Annual herb,http://calscape.org/Gayophytum-diffusum-ssp.-parviflorum-()
Gayophytum eriospermum,,,Annual herb,http://calscape.org/Gayophytum-eriospermum-()
Gayophytum heterozygum,,,Annual herb,http://calscape.org/Gayophytum-heterozygum-()
Gayophytum humile,,,Annual herb,http://calscape.org/Gayophytum-humile-()
Gayophytum oligospermum,,,Annual herb,http://calscape.org/Gayophytum-oligospermum-()
Gayophytum ramosissimum,,,Annual herb,http://calscape.org/Gayophytum-ramosissimum-()
Gentiana affinis,Pleated Gentian,,Perennial herb,http://calscape.org/Gentiana-affinis-(Pleated-Gentian)
Gentiana affinis var. ovata,Pleated Gentian,,Perennial herb,http://calscape.org/Gentiana-affinis-var.-ovata-(Pleated-Gentian)
Gentiana calycosa,Rainier Pleated Gentian,,Perennial herb,http://calscape.org/Gentiana-calycosa-(Rainier-Pleated-Gentian)
Gentiana fremontii,Fremont's Gentian,,Perennial herb,http://calscape.org/Gentiana-fremontii-(Fremont's-Gentian)
Gentiana newberryi,Alpine Gentian,,Perennial herb,http://calscape.org/Gentiana-newberryi-(Alpine-Gentian)
Gentiana newberryi var. newberryi,,,Perennial herb,http://calscape.org/Gentiana-newberryi-var.-newberryi-()
Gentiana newberryi var. tiogana,,,Perennial herb,http://calscape.org/Gentiana-newberryi-var.-tiogana-()
Gentiana plurisetosa,Bristly Gentian,,Perennial herb,http://calscape.org/Gentiana-plurisetosa-(Bristly-Gentian)
Gentiana prostrata,Pygmy Gentian,,Perennial herb,http://calscape.org/Gentiana-prostrata-(Pygmy-Gentian)
Gentiana sceptrum,King's Scepter Gentian,,Perennial herb,http://calscape.org/Gentiana-sceptrum-(King's-Scepter-Gentian)
Gentiana setigera,Mendocino Gentian,,Perennial herb,http://calscape.org/Gentiana-setigera-(Mendocino-Gentian)
Gentianella amarella,Autumn Dwarf Gentian,,Annual herb,http://calscape.org/Gentianella-amarella-(Autumn-Dwarf-Gentian)
Gentianella amarella ssp. acuta,Autumn Dwarf Gentian,,Annual herb,http://calscape.org/Gentianella-amarella-ssp.-acuta-(Autumn-Dwarf-Gentian)
Gentianopsis holopetala,Sierra Gentian,,Annual herb,http://calscape.org/Gentianopsis-holopetala-(Sierra-Gentian)
Gentianopsis simplex,Hikers' Gentian,,Annual herb,http://calscape.org/Gentianopsis-simplex-(Hikers'-Gentian)
Geraea canescens,Hairy Desertsunflower,,Annual herb,http://calscape.org/Geraea-canescens-(Hairy-Desertsunflower)
Geraea viscida,Sticky Geraea,,Perennial herb,http://calscape.org/Geraea-viscida-(Sticky-Geraea)
Geranium bicknellii,,,Perennial herb,http://calscape.org/Geranium-bicknellii-()
Geranium californicum,California Cranesbill,,Perennial herb,http://calscape.org/Geranium-californicum-(California-Cranesbill)
Geranium carolinianum,,,Perennial herb,http://calscape.org/Geranium-carolinianum-()
Geranium oreganum,Oregon Geranium,,Perennial herb,http://calscape.org/Geranium-oreganum-(Oregon-Geranium)
Geranium richardsonii,,,Perennial herb,http://calscape.org/Geranium-richardsonii-()
Geranium viscosissimum,Sticky Geranium,,Perennial herb,http://calscape.org/Geranium-viscosissimum-(Sticky-Geranium)
Geum aleppicum,Aleppo Or Yellow Avens,,Perennial herb,http://calscape.org/Geum-aleppicum-(Aleppo-Or-Yellow-Avens)
Geum macrophyllum,Large Leaved Avens,,Perennial herb,http://calscape.org/Geum-macrophyllum-(Large-Leaved-Avens)
Geum macrophyllum var. macrophyllum,,,Perennial herb,http://calscape.org/Geum-macrophyllum-var.-macrophyllum-()
Geum macrophyllum var. perincisum,,,Perennial herb,http://calscape.org/Geum-macrophyllum-var.-perincisum-()
Geum triflorum,Old Man's Whiskers,,Perennial herb,http://calscape.org/Geum-triflorum-(Old-Man's-Whiskers)
Geum triflorum var. ciliatum,Prairie-smoke,,Perennial herb,http://calscape.org/Geum-triflorum-var.-ciliatum-(Prairie-smoke)
Gilia achilleifolia,California Gilia,,Annual herb,http://calscape.org/Gilia-achilleifolia-(California-Gilia)
Gilia achilleifolia ssp. achilleifolia,California Gilia,,Annual herb,http://calscape.org/Gilia-achilleifolia-ssp.-achilleifolia-(California-Gilia)
Gilia achilleifolia ssp. multicaulis,,,Annual herb,http://calscape.org/Gilia-achilleifolia-ssp.-multicaulis-()
Gilia aliquanta,,,Annual herb,http://calscape.org/Gilia-aliquanta-()
Gilia aliquanta ssp. aliquanta,,,Annual herb,http://calscape.org/Gilia-aliquanta-ssp.-aliquanta-()
Gilia aliquanta ssp. breviloba,,,Annual herb,http://calscape.org/Gilia-aliquanta-ssp.-breviloba-()
Gilia angelensis,Chaparral Gilia,,Annual herb,http://calscape.org/Gilia-angelensis-(Chaparral-Gilia)
Gilia austro-occidentalis,Southwestern Gilia,,Annual herb,http://calscape.org/Gilia-austro-occidentalis-(Southwestern-Gilia)
Gilia brecciarum,,,Annual herb,http://calscape.org/Gilia-brecciarum-()
Gilia brecciarum ssp. brecciarum,,,Annual herb,http://calscape.org/Gilia-brecciarum-ssp.-brecciarum-()
Gilia brecciarum ssp. neglecta,,,Annual herb,http://calscape.org/Gilia-brecciarum-ssp.-neglecta-()
Gilia cana,,,Annual herb,http://calscape.org/Gilia-cana-()
Gilia cana ssp. bernardina,,,Annual herb,http://calscape.org/Gilia-cana-ssp.-bernardina-()
Gilia cana ssp. cana,,,Annual herb,http://calscape.org/Gilia-cana-ssp.-cana-()
Gilia cana ssp. speciformis,,,Annual herb,http://calscape.org/Gilia-cana-ssp.-speciformis-()
Gilia cana ssp. triceps,,,Annual herb,http://calscape.org/Gilia-cana-ssp.-triceps-()
Gilia capitata,Blue Field Gilia,,Annual herb,http://calscape.org/Gilia-capitata-(Blue-Field-Gilia)
Gilia capitata ssp. abrotanifolia,,,Annual herb,http://calscape.org/Gilia-capitata-ssp.-abrotanifolia-()
Gilia capitata ssp. capitata,,,Annual herb,http://calscape.org/Gilia-capitata-ssp.-capitata-()
Gilia capitata ssp. chamissonis,Dune Gilia,,Annual herb,http://calscape.org/Gilia-capitata-ssp.-chamissonis-(Dune-Gilia)
Gilia capitata ssp. mediomontana,,,Annual herb,http://calscape.org/Gilia-capitata-ssp.-mediomontana-()
Gilia capitata ssp. pacifica,Pacific Gilia,,Annual herb,http://calscape.org/Gilia-capitata-ssp.-pacifica-(Pacific-Gilia)
Gilia capitata ssp. pedemontana,,,Annual herb,http://calscape.org/Gilia-capitata-ssp.-pedemontana-()
Gilia capitata ssp. staminea,,,Annual herb,http://calscape.org/Gilia-capitata-ssp.-staminea-()
Gilia capitata ssp. tomentosa,Woolly-headed Gilia,,Annual herb,http://calscape.org/Gilia-capitata-ssp.-tomentosa-(Woolly-headed-Gilia)
Gilia clivorum,Purplespot Gilia,,Annual herb,http://calscape.org/Gilia-clivorum-(Purplespot-Gilia)
Gilia clokeyi,Clokey's Gilia,,Annual herb,http://calscape.org/Gilia-clokeyi-(Clokey's-Gilia)
Gilia diegensis,Coastal Gilia,,Annual herb,http://calscape.org/Gilia-diegensis-(Coastal-Gilia)
Gilia inconspicua,Shy Gilia,,Annual herb,http://calscape.org/Gilia-inconspicua-(Shy-Gilia)
Gilia interior,Inland Gilia,,Annual herb,http://calscape.org/Gilia-interior-(Inland-Gilia)
Gilia jacens,,,Annual herb,http://calscape.org/Gilia-jacens-()
Gilia latiflora,,,Annual herb,http://calscape.org/Gilia-latiflora-()
Gilia latiflora ssp. cuyamensis,Cuyama Gilia,,Annual herb,http://calscape.org/Gilia-latiflora-ssp.-cuyamensis-(Cuyama-Gilia)
Gilia latiflora ssp. davyi,Davy's Broad-flowered Gilia,,Annual herb,http://calscape.org/Gilia-latiflora-ssp.-davyi-(Davy's-Broad-flowered-Gilia)
Gilia latiflora ssp. elongata,,,Annual herb,http://calscape.org/Gilia-latiflora-ssp.-elongata-()
Gilia latiflora ssp. latiflora,Broad-leaved Gilia,,Annual herb,http://calscape.org/Gilia-latiflora-ssp.-latiflora-(Broad-leaved-Gilia)
Gilia leptantha,Fine Flower Gilia,,Annual herb,http://calscape.org/Gilia-leptantha-(Fine-Flower-Gilia)
Gilia leptantha ssp. leptantha,San Bernardino Gilia,,Annual herb,http://calscape.org/Gilia-leptantha-ssp.-leptantha-(San-Bernardino-Gilia)
Gilia malior,"Scrub Gilia, Great Basin Gilia",,Annual herb,"http://calscape.org/Gilia-malior-(Scrub-Gilia,-Great-Basin-Gilia)"
Gilia millefoliata,Dark-eyed Gilia,,Annual herb,http://calscape.org/Gilia-millefoliata-(Dark-eyed-Gilia)
Gilia minor,Little Gilia,,Annual herb,http://calscape.org/Gilia-minor-(Little-Gilia)
Gilia modocensis,Modoc Gilia,,Annual herb,http://calscape.org/Gilia-modocensis-(Modoc-Gilia)
Gilia nevinii,Nevin's Gilia,,Annual herb,http://calscape.org/Gilia-nevinii-(Nevin's-Gilia)
Gilia ochroleuca,,,Annual herb,http://calscape.org/Gilia-ochroleuca-()
