PDT,Max Temperature,Mean Temperature,Min Temperature,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind Speed, Mean Wind Speed, Max Gust Speed,Precipitation, CloudCover, Events, WindDirDegrees
2012-11-5,94,77,60,52,42,30,56,34,11,30.06,30.02,29.97,10,10,10,10,3,14,0.00,0,,225
2012-11-6,80,70,59,61,53,42,64,50,36,30.08,30.04,30.00,10,8,0,13,4,16,0.00,2,Fog,225
2012-11-7,72,67,62,58,56,54,84,71,57,30.07,30.02,29.96,10,8,4,9,3,13,0.00,5,,184
2012-11-8,70,66,62,58,55,50,78,69,59,30.05,29.94,29.89,10,9,3,12,5,17,0.03,7,Rain,244
2012-11-9,65,62,58,49,44,40,72,56,40,29.96,29.92,29.89,10,10,10,16,7,25,T,4,Rain,263
2012-11-10,65,57,49,43,36,27,71,51,31,30.17,30.05,29.95,10,10,10,15,3,24,0.00,1,,296
2012-11-11,67,56,44,39,34,25,65,44,22,30.30,30.24,30.17,10,10,10,10,2,14,0.00,0,,278
2012-11-12,74,60,45,39,31,16,58,35,12,30.24,30.17,30.10,10,10,10,13,2,15,0.00,0,,216
2012-11-13,83,65,47,44,33,18,61,36,10,30.12,30.05,29.99,10,10,10,12,2,13,0.00,0,,251
2012-11-14,75,63,51,55,47,39,71,50,29,30.07,30.03,29.99,10,9,5,10,2,13,0.00,4,,219
2012-11-15,72,64,55,57,51,45,86,63,40,30.11,30.07,30.02,10,7,0,14,3,16,0.00,5,Fog-Rain,277
2012-11-16,73,67,60,57,50,36,78,53,27,30.12,30.07,30.02,10,10,8,13,4,16,0.01,6,,206
2012-11-17,72,67,61,59,58,57,84,73,61,30.10,30.07,30.04,10,8,2,15,4,18,0.14,7,Rain,167
2012-11-18,71,66,61,58,56,50,90,73,55,30.19,30.11,30.07,10,10,6,10,2,15,0.00,5,,249
2012-11-19,72,63,54,54,51,48,86,67,47,30.25,30.19,30.16,10,10,9,10,2,16,0.00,1,,347
2012-11-20,72,62,52,55,51,47,86,68,49,30.16,30.10,30.04,10,10,7,12,2,14,0.00,1,,208
2012-11-21,68,62,55,55,53,48,86,73,59,30.12,30.07,30.03,10,10,7,10,3,13,0.00,4,,192
2012-11-22,70,63,55,55,54,51,93,76,59,30.13,30.09,30.04,10,5,2,7,1,9,0.00,5,,224
2012-11-23,74,64,54,56,54,52,93,71,49,30.16,30.11,30.06,5,2,0,10,1,14,0.00,5,Fog,212
2012-11-24,78,66,53,56,54,51,93,68,43,30.09,30.02,29.93,10,5,0,9,2,10,0.00,1,Fog,203
2012-11-25,65,59,53,55,53,50,93,80,67,29.98,29.94,29.88,10,5,0,10,3,13,0.00,5,Fog,190
2012-11-26,68,64,59,53,51,50,78,68,58,30.11,30.05,29.99,10,10,10,14,4,17,0.00,4,,143
2012-11-27,70,61,52,53,51,46,83,71,59,30.17,30.12,30.05,10,8,5,10,3,14,0.00,3,,257
2012-11-28,69,64,58,54,52,51,80,68,55,30.21,30.16,30.11,10,9,6,12,2,15,T,7,Rain,160
2012-11-29,67,64,60,61,58,54,84,81,78,30.23,30.18,30.14,10,7,2,12,4,17,0.17,8,Rain,165
2012-11-30,69,66,63,63,61,59,87,82,76,30.15,30.12,30.06,10,4,1,12,3,16,0.11,8,Rain,198
2012-12-1,69,65,61,61,58,57,90,78,66,30.19,30.13,30.09,10,7,2,8,1,10,0.00,7,Rain,246
2012-12-2,70,67,63,59,58,55,87,77,66,30.15,30.11,30.08,10,8,1,10,3,15,0.05,8,Rain,194
2012-12-3,70,67,63,63,59,55,93,82,70,30.19,30.14,30.11,10,5,2,9,6,12,0.30,7,Rain,176
2012-12-4,72,66,60,57,56,54,84,71,57,30.24,30.18,30.14,10,6,4,9,2,14,0.00,6,,292
2012-12-5,67,61,55,56,54,52,93,81,68,30.15,30.08,30.02,10,5,0,9,3,13,0.01,5,Fog,159
2012-12-6,68,65,61,56,55,53,84,74,63,30.02,29.94,29.88,10,7,2,8,3,10,0.00,6,,186
2012-12-7,66,62,57,56,54,51,93,83,72,29.99,29.94,29.91,4,2,0,8,2,12,0.00,5,Fog,169
2012-12-8,68,61,54,55,53,50,89,76,63,30.00,29.95,29.91,6,2,0,10,3,13,0.00,6,Fog,106
2012-12-9,69,63,57,54,52,49,80,68,55,30.13,30.04,29.98,6,4,3,9,3,12,0.00,5,,79
2012-12-10,77,64,50,52,48,41,83,56,29,30.14,30.09,30.04,10,6,2,10,2,12,0.00,0,,251
2012-12-11,69,60,50,55,49,41,74,64,53,30.06,30.01,29.95,10,9,6,10,3,14,0.00,1,,180
2012-12-12,63,58,53,54,50,48,89,75,60,29.97,29.91,29.85,10,10,4,13,6,17,0.00,6,Rain,164
2012-12-13,60,58,55,54,49,39,93,73,53,29.85,29.80,29.75,10,8,2,12,5,15,0.41,7,Rain,220
2012-12-14,60,53,46,44,42,36,86,65,43,30.01,29.90,29.77,10,10,10,15,4,18,0.00,5,Rain,175
2012-12-15,60,54,48,45,41,34,86,62,37,30.11,30.03,29.97,10,10,9,10,4,16,0.01,6,Rain,337
2012-12-16,59,57,54,52,47,43,72,64,55,30.18,30.14,30.11,10,8,3,8,3,13,T,8,Rain,84
2012-12-17,62,59,55,54,53,49,93,83,72,30.17,30.11,30.01,10,8,2,10,2,13,0.02,7,Rain,4
2012-12-18,61,58,55,56,48,21,93,71,49,30.02,29.91,29.82,10,8,1,16,4,24,0.13,6,Rain,239
2012-12-19,61,50,38,33,26,11,64,39,14,30.26,30.18,30.02,10,10,10,20,5,24,0.00,0,,306
2012-12-20,66,52,38,38,29,11,70,41,12,30.22,30.14,30.07,10,10,10,8,1,13,0.00,1,,281
2012-12-21,64,52,40,44,36,30,65,49,32,30.13,30.08,30.05,10,10,10,8,1,10,0.00,3,,307
2012-12-22,62,52,42,47,42,35,83,67,51,30.20,30.14,30.07,10,10,10,10,2,14,0.00,3,,179
2012-12-23,63,58,53,52,50,46,83,74,64,30.23,30.17,30.13,10,9,5,13,4,15,T,7,Rain,173
2012-12-24,65,60,54,57,53,50,93,80,67,30.13,30.07,30.00,10,8,2,12,6,15,0.55,6,Rain,155
2012-12-25,61,56,51,50,48,46,89,77,64,30.10,30.05,29.99,10,9,6,6,1,10,0.01,7,,56
2012-12-26,61,57,52,52,48,44,93,74,55,30.00,29.96,29.92,10,8,2,15,6,22,0.16,5,Rain,217
2012-12-27,62,52,42,44,41,34,92,64,36,30.11,30.01,29.96,10,10,10,13,2,16,0.00,1,,164
2012-12-28,64,54,43,43,37,30,76,53,30,30.17,30.11,30.08,10,10,10,9,2,12,0.00,3,,8
2012-12-29,55,49,43,50,41,33,89,70,50,30.09,30.03,29.98,10,9,4,13,3,16,0.21,5,Rain,70
2012-12-30,57,48,39,45,40,38,93,70,47,30.07,29.99,29.91,10,7,0,22,1,26,0.07,2,Fog-Rain,31
2012-12-31,58,48,38,43,38,34,92,70,47,30.25,30.19,30.09,10,10,9,13,4,16,0.00,1,,176
2013-1-1,59,51,43,39,35,22,76,52,27,30.24,30.16,30.09,10,10,9,12,1,16,0.00,4,,38
2013-1-2,66,55,44,41,25,13,68,42,15,30.12,30.07,30.04,10,10,10,16,4,24,0.00,0,,169
2013-1-3,69,55,40,47,34,25,70,44,18,30.17,30.10,30.05,10,10,10,12,2,14,0.00,0,,218
2013-1-4,66,53,39,35,27,15,70,43,15,30.28,30.21,30.18,10,10,10,8,1,10,0.00,0,,258
2013-1-5,61,50,39,47,36,27,83,58,32,30.29,30.23,30.19,10,10,8,9,2,13,0.00,3,,201
2013-1-6,58,52,46,48,45,40,93,75,57,30.21,30.13,30.03,10,7,2,15,3,20,0.09,6,Rain,174
2013-1-7,65,54,42,44,40,26,100,63,25,30.10,30.03,29.99,10,10,7,10,2,15,0.00,1,,327
2013-1-8,64,53,41,49,44,36,83,68,52,30.11,30.07,30.02,10,10,10,13,2,16,0.00,1,,208
2013-1-9,66,55,44,54,47,41,93,75,56,30.14,30.07,30.02,10,8,5,10,4,14,0.00,5,Fog,189
2013-1-10,59,54,48,49,39,22,77,55,32,30.10,29.99,29.92,10,10,5,17,7,25,0.03,5,Rain,252
2013-1-11,56,47,38,31,24,19,60,42,24,30.19,30.12,30.06,10,10,2,14,5,21,0.00,1,,296
2013-1-12,55,45,35,32,27,22,64,47,30,30.17,30.11,30.08,10,10,10,12,3,16,0.00,1,,214
2013-1-13,55,46,36,33,27,15,70,47,24,30.17,30.11,30.07,10,10,10,12,3,14,0.00,2,,298
2013-1-14,57,50,42,20,3,-5,31,20,9,30.33,30.26,30.15,10,10,10,25,9,32,0.00,0,,43
2013-1-15,60,48,36,32,21,11,48,33,17,30.45,30.37,30.32,10,10,10,13,2,16,0.00,1,,270
2013-1-16,64,52,39,43,34,28,65,50,34,30.35,30.25,30.12,10,10,2,14,3,16,0.00,0,,224
2013-1-17,77,59,41,35,30,17,70,41,11,30.16,30.10,30.04,10,10,10,12,3,17,0.00,0,,211
2013-1-18,79,62,44,37,30,20,60,36,11,30.13,30.09,30.04,10,10,10,10,2,13,0.00,2,,247
2013-1-19,77,60,43,36,31,20,70,41,12,30.18,30.11,30.07,10,10,10,9,2,12,0.00,1,,237
2013-1-20,78,60,42,40,32,26,62,39,16,30.13,30.07,30.00,10,10,10,10,2,13,0.00,0,,215
2013-1-21,77,60,42,42,33,16,67,39,10,30.09,30.04,30.00,10,10,10,12,3,14,0.00,0,,213
2013-1-22,79,61,42,32,27,12,58,34,9,30.09,30.05,30.01,10,10,9,8,2,10,0.00,3,,249
2013-1-23,76,64,52,52,37,33,46,36,25,30.14,30.05,30.01,10,9,4,16,2,18,0.00,6,Rain,206
2013-1-24,69,62,55,56,53,49,93,76,59,30.20,30.13,30.10,10,7,2,10,4,15,0.58,7,Rain,59
2013-1-25,67,63,59,60,57,55,93,83,73,30.10,30.02,29.95,10,8,2,9,3,22,0.27,8,Rain,328
2013-1-26,66,61,55,59,57,53,97,85,73,30.01,29.93,29.90,10,4,0,14,4,16,0.31,7,Fog-Rain,206
2013-1-27,59,57,54,54,48,43,93,78,62,30.04,30.00,29.98,10,8,2,17,7,23,T,6,,183
2013-1-28,51,49,47,38,38,38,77,74,71,30.14,30.09,30.04,10,10,10,0,0,,0.00,0,,-1
2013-1-29,57,54,48,43,40,37,57,54,51,30.22,30.19,30.16,10,10,10,12,10,,0.00,3,,192
2013-1-30,68,56,43,43,40,36,82,58,34,30.34,30.26,30.21,10,10,10,8,3,12,0.00,2,,295
2013-1-31,81,63,45,50,43,37,76,50,23,30.22,30.15,30.09,10,10,10,10,2,16,0.00,1,,225
2013-2-1,72,60,48,52,46,40,83,59,35,30.17,30.13,30.10,10,10,10,15,3,17,0.00,5,,241
2013-2-2,70,62,54,52,49,46,83,64,44,30.18,30.15,30.10,10,10,7,8,1,10,0.00,5,Rain,202
2013-2-3,71,63,54,55,50,45,93,67,40,30.12,30.06,30.01,10,10,9,13,4,16,0.01,3,,189
2013-2-4,60,54,48,52,50,44,89,82,75,30.10,30.05,29.99,10,6,1,9,3,13,0.00,4,,219
2013-2-5,57,55,52,49,48,46,89,81,72,30.12,30.05,30.00,10,8,3,9,1,12,0.00,8,,205
2013-2-6,62,58,54,48,46,43,72,65,57,30.12,30.06,30.01,10,8,4,10,5,15,0.00,3,,186
2013-2-7,60,53,46,49,46,43,93,80,67,30.14,30.08,30.01,10,6,3,10,2,14,0.00,4,Rain,222
2013-2-8,55,51,46,46,40,36,77,68,59,30.02,29.97,29.90,10,9,2,18,7,28,0.16,5,Rain,242
2013-2-9,57,48,38,40,38,35,92,70,47,30.12,30.03,29.94,10,10,10,12,3,16,0.02,1,,176
2013-2-10,57,50,43,41,39,36,71,63,54,30.11,30.07,30.03,10,10,10,10,4,13,0.00,5,,119
2013-2-11,61,51,41,44,39,31,83,58,32,30.24,30.14,30.07,10,10,10,13,3,20,0.00,1,,266
2013-2-12,61,51,41,45,39,31,83,65,46,30.35,30.28,30.25,10,10,10,10,3,14,0.00,0,,273
2013-2-13,63,53,42,47,42,35,76,60,43,30.26,30.21,30.15,10,10,10,12,2,15,0.00,0,,239
2013-2-14,70,57,44,48,43,37,82,62,42,30.21,30.13,30.06,10,9,6,12,2,13,0.00,3,,224
2013-2-15,84,65,46,44,31,16,86,47,8,30.17,30.14,30.09,10,10,7,20,6,26,0.00,4,,76
2013-2-16,81,64,47,44,28,16,56,33,9,30.14,30.06,29.98,10,10,10,10,2,15,0.00,1,,256
2013-2-17,65,56,46,49,44,32,100,74,48,30.04,29.97,29.94,10,7,0,17,5,21,0.00,2,Fog,177
2013-2-18,62,58,53,46,44,42,77,66,55,30.07,30.02,29.97,10,10,10,13,6,20,0.00,6,,162
2013-2-19,56,54,51,46,41,37,64,59,54,30.00,29.87,29.73,10,9,2,14,7,21,0.02,8,Rain,190
2013-2-20,59,52,44,44,35,25,61,46,30,30.00,29.86,29.72,10,10,10,16,8,23,0.03,2,,247
2013-2-21,61,54,47,42,40,36,71,56,40,30.10,30.03,29.98,10,10,9,15,5,18,0.00,3,,143
2013-2-22,62,52,41,47,42,35,83,67,51,30.20,30.16,30.11,10,10,10,14,4,17,0.00,1,,204
2013-2-23,63,53,43,47,42,35,77,60,43,30.16,30.04,29.94,10,10,10,13,2,17,0.00,1,,195
2013-2-24,70,59,47,43,13,-1,86,47,7,30.20,30.08,29.99,10,10,10,28,14,43,0.00,1,,45
2013-2-25,66,54,42,46,33,23,50,37,24,30.22,30.15,30.09,10,10,10,13,3,16,0.00,0,,227
2013-2-26,66,54,42,45,40,32,77,59,40,30.10,30.03,29.99,10,10,10,13,3,20,0.00,1,,245
2013-2-27,76,61,45,43,31,18,71,42,12,30.26,30.19,30.12,10,10,10,13,3,16,0.00,1,,242
2013-2-28,78,62,45,43,27,12,77,43,8,30.30,30.27,30.23,10,10,10,14,3,16,0.00,0,,284
2013-3-1,83,67,50,33,28,18,52,31,9,30.29,30.22,30.14,10,10,10,14,4,20,0.00,0,,270
2013-3-2,81,67,52,50,36,25,54,34,13,30.19,30.14,30.08,10,10,9,9,2,13,0.00,2,,230
2013-3-3,71,62,53,52,50,42,89,63,37,30.10,30.04,30.00,10,10,8,13,5,18,T,5,,221
2013-3-4,65,60,55,50,49,46,83,70,56,30.11,30.06,30.03,10,10,9,14,6,16,0.00,5,,190
2013-3-5,61,57,53,50,48,45,83,74,64,30.13,30.10,30.05,10,9,7,13,4,16,0.00,7,,225
2013-3-6,62,56,50,47,43,40,71,59,46,30.16,30.09,30.02,10,10,10,13,4,16,T,6,,241
2013-3-7,61,57,52,52,48,42,93,74,55,30.02,29.98,29.86,10,9,2,13,6,16,0.02,7,Rain,139
2013-3-8,56,52,48,47,44,41,86,73,59,30.03,29.90,29.79,10,9,4,14,8,22,0.02,7,Rain,230
2013-3-9,62,56,49,45,43,40,77,64,51,30.22,30.12,30.03,10,10,9,13,4,16,0.00,3,,227
2013-3-10,70,58,45,50,43,30,82,60,37,30.26,30.20,30.15,10,10,10,16,4,21,0.00,0,,222
2013-3-11,70,59,47,52,46,36,100,70,39,30.18,30.12,30.05,10,7,0,10,3,14,0.00,0,Fog,211
2013-3-12,70,60,49,53,50,48,100,74,47,30.10,30.06,30.01,10,4,0,12,3,14,0.00,2,Fog,223
2013-3-13,72,61,50,54,52,49,100,77,53,30.12,30.08,30.03,10,3,0,12,5,14,0.00,2,Fog,215
2013-3-14,70,61,52,53,52,50,100,78,55,30.10,30.06,30.01,10,4,1,12,3,15,0.00,5,,214
2013-3-15,64,58,52,53,51,49,96,82,67,30.05,30.00,29.95,10,5,1,14,5,18,0.00,7,,223
2013-3-16,63,58,52,50,49,47,96,80,64,29.99,29.95,29.91,10,7,2,13,5,18,0.00,6,,197
2013-3-17,65,60,54,51,49,48,83,72,60,30.01,29.97,29.94,10,8,7,13,6,25,0.00,6,,173
2013-3-18,63,59,54,50,48,47,83,72,60,30.09,30.04,29.99,10,10,8,12,4,15,0.00,7,,192
2013-3-19,66,59,52,51,50,48,89,75,60,30.12,30.08,30.06,9,8,6,13,3,16,0.00,5,,234
2013-3-20,67,60,53,53,51,49,89,74,58,30.09,30.04,29.96,10,8,5,12,4,15,0.01,4,,216
2013-3-21,68,61,54,52,51,49,86,71,56,29.95,29.89,29.82,10,10,7,13,5,17,0.00,2,,193
2013-3-22,67,60,53,54,50,47,93,75,56,29.92,29.85,29.81,10,9,7,13,5,17,0.00,3,,190
2013-3-23,67,60,52,52,50,48,83,70,56,30.02,29.97,29.92,10,9,7,13,4,17,0.00,4,,194
2013-3-24,73,64,54,54,51,48,86,67,47,30.02,29.97,29.90,10,8,5,10,4,,0.00,3,,212
2013-3-25,72,63,53,54,52,50,93,73,53,29.99,29.95,29.90,10,5,1,13,4,16,0.00,5,,196
2013-3-26,66,61,56,54,51,48,86,75,63,29.98,29.95,29.91,10,8,7,14,6,18,0.00,6,,206
2013-3-27,65,61,57,52,50,48,80,68,56,30.05,29.99,29.94,10,10,9,15,6,20,0.00,5,,190
2013-3-28,70,63,55,54,51,49,86,70,53,30.08,30.04,30.01,10,10,7,13,4,16,0.00,5,,199
2013-3-29,68,62,56,54,53,52,86,75,63,30.11,30.08,30.05,10,7,3,14,4,17,0.00,6,,204
2013-3-30,68,63,57,54,52,51,86,72,58,30.13,30.10,30.07,10,9,5,9,5,,0.00,4,,229
2013-3-31,68,62,56,55,52,50,86,75,63,30.14,30.11,30.06,10,10,9,17,7,22,0.00,6,Rain,217
2013-4-1,67,62,56,52,50,46,83,68,52,30.17,30.12,30.09,10,10,10,14,6,20,0.00,5,,254
2013-4-2,68,62,55,53,51,49,86,71,56,30.10,30.06,30.00,10,10,10,9,4,,0.00,4,,208
2013-4-3,72,64,56,54,53,51,93,71,49,30.10,30.05,29.99,10,9,5,14,4,20,0.00,5,,200
2013-4-4,69,63,57,54,53,51,86,71,55,30.11,30.07,30.02,10,8,5,10,4,16,0.00,6,,248
2013-4-5,68,63,57,55,54,52,87,73,58,30.10,30.06,30.01,10,9,2,14,7,29,0.01,7,,212
2013-4-6,69,64,58,54,52,50,80,68,55,30.08,30.03,29.97,10,10,7,14,6,18,0.00,4,,195
2013-4-7,69,62,54,55,52,50,86,70,53,29.97,29.90,29.82,10,9,6,15,5,18,0.00,4,,168
2013-4-8,66,61,56,54,46,39,80,60,40,29.82,29.73,29.66,10,10,9,17,9,30,0.00,4,,240
2013-4-9,71,61,51,47,42,33,71,49,26,30.01,29.90,29.83,10,10,10,16,5,23,0.00,0,,220
2013-4-10,80,65,50,48,38,19,68,40,11,30.09,30.03,29.99,10,10,5,16,5,22,0.00,0,,251
2013-4-11,71,63,54,52,48,38,72,55,37,30.00,29.88,29.81,10,10,9,20,6,25,0.00,3,,188
2013-4-12,69,64,58,52,50,49,77,67,56,29.91,29.84,29.79,10,9,7,12,5,17,0.00,5,,200
2013-4-13,62,59,56,54,52,47,86,79,72,29.92,29.89,29.85,10,8,3,12,6,15,T,8,,192
2013-4-14,64,60,55,52,49,47,77,69,60,29.89,29.86,29.83,10,10,9,16,9,21,0.00,8,,169
2013-4-15,66,62,57,52,49,46,75,66,56,29.91,29.88,29.85,10,10,10,18,9,23,T,7,Rain,184
2013-4-16,65,59,53,46,43,38,71,55,39,29.99,29.92,29.88,10,10,10,18,8,30,0.00,4,,200
2013-4-17,71,61,50,42,30,16,66,39,12,30.12,30.06,30.00,10,10,10,17,6,24,0.00,0,,303
2013-4-18,80,66,51,42,22,7,50,28,6,30.18,30.14,30.10,10,10,10,17,8,28,0.00,0,,354
2013-4-19,84,67,50,52,31,14,47,27,7,30.15,30.07,29.98,10,10,9,14,5,20,0.00,0,,247
2013-4-20,77,65,53,55,49,43,80,56,31,30.00,29.94,29.89,10,10,9,14,5,17,0.00,1,,212
2013-4-21,72,64,56,55,53,51,93,75,57,30.02,29.98,29.95,10,9,6,16,6,20,0.00,2,,202
2013-4-22,68,63,57,53,50,48,86,72,58,30.01,29.97,29.92,10,9,8,16,7,20,0.00,5,,174
2013-4-23,70,64,57,53,50,49,72,63,53,29.98,29.93,29.86,10,10,10,14,5,20,0.00,5,,208
2013-4-24,62,60,57,54,51,45,86,73,60,29.99,29.94,29.91,10,8,4,12,5,15,T,8,Rain,198
2013-4-25,71,65,59,52,49,45,75,58,40,30.12,30.04,29.97,10,10,10,13,4,21,0.00,4,,227
2013-4-26,74,65,55,54,50,46,77,58,38,30.16,30.13,30.10,10,10,9,14,4,20,0.00,0,,238
2013-4-27,71,63,55,55,54,51,86,70,53,30.15,30.09,30.01,10,9,7,12,4,15,0.00,2,,215
2013-4-28,69,64,58,55,54,53,86,72,57,30.03,29.95,29.88,10,8,5,14,6,18,0.00,5,,195
2013-4-29,67,63,58,55,53,52,93,78,63,29.91,29.87,29.80,10,9,5,14,6,21,0.00,6,,183
2013-4-30,68,64,59,54,52,50,75,67,58,29.89,29.86,29.83,10,10,10,17,9,23,0.00,7,,175
2013-5-1,72,66,60,55,53,51,78,64,49,30.09,29.97,29.90,10,10,10,13,6,17,0.00,5,,200
2013-5-2,91,75,59,56,52,37,87,52,17,30.11,30.06,29.96,10,9,6,12,4,17,0.00,2,,243
2013-5-3,89,73,57,56,48,33,80,49,17,30.00,29.87,29.78,10,10,9,15,4,18,0.00,4,,227
2013-5-4,71,65,58,56,53,50,84,70,55,29.86,29.80,29.77,10,9,7,21,9,25,0.00,4,,169
2013-5-5,67,64,60,54,51,49,72,64,56,29.95,29.91,29.83,10,10,8,20,9,25,0.00,8,,160
2013-5-6,69,64,58,57,55,52,93,76,58,30.02,29.96,29.90,10,8,2,17,10,24,0.19,7,Rain,173
2013-5-7,71,64,56,55,51,44,87,64,40,30.08,30.02,29.99,10,10,2,16,5,22,0.08,4,Rain,193
2013-5-8,70,64,58,54,51,45,80,61,42,30.10,30.08,30.06,10,10,10,14,5,20,0.00,5,,248
2013-5-9,70,64,57,54,53,52,86,70,53,30.10,30.07,30.03,10,10,10,14,5,21,0.00,4,,224
2013-5-10,73,66,59,58,55,53,84,69,53,30.09,30.06,30.02,10,10,7,12,5,16,0.00,2,,215
2013-5-11,76,68,60,60,58,55,90,74,57,30.07,30.04,29.99,10,8,4,13,4,17,0.00,3,,219
2013-5-12,82,72,62,61,59,57,93,68,43,30.06,30.00,29.90,10,7,2,10,3,14,0.00,4,,221
2013-5-13,90,78,65,61,57,53,81,55,29,29.96,29.92,29.87,10,10,9,12,5,16,0.00,0,,229
